ID_Keluar (Key),Tanggal,ID_Detail,ID Bahan Baku,Nama Bahan Baku,Jumlah_Keluar
72aa2a5f,05/11/2026 00:00:00,46219efd,BK-01,Biji Kopi,18
ca1a87a5,05/11/2026 00:00:00,46219efd,BK-05,Susu UHT,100
87fa7909,05/11/2026 00:00:00,46219efd,BK-03,Gula Aren,35
f20b5c49,05/11/2026 00:00:00,19818c71,BK-06,Teh,1
9a974b23,05/11/2026 00:00:00,19818c71,BK-04,Gula Putih,25
f1552098,05/11/2026 00:00:00,f2254527,MB-01,Le Mineral,1
78828ad0,05/11/2026 00:00:00,1629fc91,BK-01,Biji Kopi,18
235c3e45,05/11/2026 00:00:00,1629fc91,BK-02,SKM,25
ac78edc9,05/11/2026 00:00:00,9ab4b0ba,BK-06,Teh,2
904cb0e1,05/11/2026 00:00:00,9ab4b0ba,BK-04,Gula Putih,50
56aee08f,05/11/2026 00:00:00,368b350f,MB-01,Le Mineral,1
3a57be3c,05/12/2026 00:00:00,9a6cd6d1,BK-01,Biji Kopi,18
3e2cd339,05/12/2026 00:00:00,9a6cd6d1,BK-02,SKM,25
2baa6528,05/12/2026 00:00:00,53872520,BK-06,Teh,2
12e0932e,05/12/2026 00:00:00,53872520,BK-04,Gula Putih,50
243d024d,05/12/2026 00:00:00,09ad42ca,BK-06,Teh,1
66a14c14,05/12/2026 00:00:00,09ad42ca,BK-04,Gula Putih,25
bb6399a2,05/12/2026 00:00:00,0283b2bd,MB-02,Badak,2
deb099d9,05/12/2026 00:00:00,0283b2bd,BK-02,SKM,60
67d99608,05/12/2026 00:00:00,f3dbd712,BK-01,Biji Kopi,18
bcdf8b40,05/12/2026 00:00:00,923ffda5,BK-06,Teh,1
74c9d314,05/12/2026 00:00:00,923ffda5,BK-04,Gula Putih,25
71349359,05/12/2026 00:00:00,d537f0cb,BK-01,Biji Kopi,18
dd0516af,05/12/2026 00:00:00,d537f0cb,BK-02,SKM,25
ff3b0345,05/13/2026 00:00:00,bc9f11a9,BK-01,Biji Kopi,18
