ID Masuk,ID_Pengeluaran,ID_Cashflow,ID Bahan Baku,Tanggal,Nama Produk,Jumlah Masuk,Harga Satuan
3a944a45,,,MB-02,5/11/2026,Badak,7,
cff53f30,,,MB-01,5/11/2026,Le Mineral,11,
b73ff5fa,,,BK-04,5/11/2026,Gula Putih,1520,
1343c882,,,BK-03,5/11/2026,Gula Aren,779,
328a1db6,,,BK-06,11/05/2026,Teh,21,
d27a0352,,,BK-02,11/05/2026,SKM,1294,
13938565,,,BK-01,11/05/2026,Biji Kopi,750,
cce44183,6e71c64f,,MB-02,12/05/2026,,24,5625
83e6f5fd,a50c7ea7,,MB-01,12/05/2026,,24,2000
9552cfaa,,2874fb0d,BK-01,15/05/2026,Biji Kopi,1000,205
816939f8,cbf041b2,,BK-04,17/05/2026,,1,19000
5e610e4d,,3212cec6,BK-02,17/05/2026,SKM,1440,0
06fb6e36,758235f4,,MB-02,21/05/2026,,24,5625
9bf14f22,9320092a,,MB-01,21/05/2026,,24,2000
056902c5,5a52dea1,,BK-04,22/05/2026,,1000,20
495f8778,e5c614d7,,BK-06,22/05/2026,,1,7000
9f60b8f9,8f300519,,BK-02,25/05/2026,,3,15000
678aba04,de6d7de8,,BK-01,25/05/2026,,1,19000
2457d72d,,4bc2acbf,BK-01,26/05/2026,Biji Kopi,1000,205
a57f6e57,59f65705,,BK-04,29/05/2026,,1,18500
be6a760f,,cf9662fd,BK-01,31/05/2026,Biji Kopi,1000,205
7d8c7a2e,,716bbeb5,BMK-04,31/05/2026,Nugget,1000,0
b8839035,,bea806be,BMK-05,31/05/2026,Sosis,16,1375
2c3bfcb2,,2aef6b88,BMK-06,31/05/2026,Kentang,1000,33
024ce161,,db6ad8a5,BMK-07,31/05/2026,Indomie Kuah,7,3500
95476690,,16dc4a01,BMK-08,31/05/2026,Indomie Goreng,7,3500
a925fade,234d2374,,BK-02,01/06/2026,,3,15000
55be8ca6,4dcf0164,,BK-06,01/06/2026,,2,10000
8f923165,28907673,,MB-02,02/06/2026,,24,5625
a437c4ea,e22ed25a,,MB-01,02/06/2026,,24,2000
e3535157,99482ff2,,BMK-07,04/06/2026,,6,"3333,33"
a0c68803,4785d0bc,,BMK-10,04/06/2026,,30,"1766,67"
8accc758,cae7abe2,,BK-01,04/06/2026,,3,"6666,67"
2d0b211b,43fbb8be,,BMK-01,05/06/2026,,11,0
3b0be16f,f7314016,,BMK-09,05/06/2026,,590,0
d9b8805c,72b9d841,,BK-04,05/06/2026,,1,19000
d6d754a0,af51ee82,,BK-02,07/06/2026,,4,15250
5c281417,,56360729,BK-01,08/06/2026,Biji Kopi,3000,200
41d74fc3,e7aa4f84,,BK-06,10/06/2026,,2,10000
316e6a5a,d3155884,,BMK-08,11/06/2026,,6,"3333,33"
dee0fde5,21cc5051,,BMK-09,13/06/2026,,1,20000
2af77bb3,f91788e9,,BMK-05,13/06/2026,,1,41500
80c0a478,b9ef8798,,BMK-02,15/06/2026,,1,160000
f071a6da,e3c88028,,BK-04,16/06/2026,,1,19000
1693ffa5,0f88e749,,BK-02,17/06/2026,,4,16750
7884e8b3,015e6c3a,,MB-01,20/06/2026,,1,48000
ad46cbe4,41f33e16,,BMK-09,22/06/2026,,1,20000
ad35194f,4705ec0c,,BK-04,23/06/2026,,1,18500
31b001b1,3a2b5c00,,BMK-07,23/06/2026,,6,"3333,33"
18507259,472b0b77,,BMK-08,23/06/2026,,6,"3333,33"
732cb899,9a9ff3d3,,BK-01,25/06/2026,,1,20000
10a301da,f3a6bc00,,BK-02,26/06/2026,,4,15000
90c48ee2,dae4b078,,BK-06,26/06/2026,,2,10000
6a1bc5ec,e586e384,,BMK-09,28/06/2026,,1,20000
fdc85f00,dead1f1e,,BMK-10,29/06/2026,,30,1800
e6538198,,4ba98280,BK-01,30/06/2026,Biji Kopi,1000,205
bfdb4838,8c473150,,MB-02,30/06/2026,,24,5625
a129ff09,910d3c99,,BMK-02,01/07/2026,,1,163000
556e702f,016c5238,,BK-02,03/07/2026,,4,15000
5946c7ea,19ea825c,,BK-04,03/07/2026,,1,18000
d4021507,5cbe3739,,BK-01,03/07/2026,,2,10000
9f2d01d5,122b5087,,MB-01,04/07/2026,,1,50000
e601df47,f704e1bb,,BMK-09,07/07/2026,,1,18000
a60a1b61,10801a80,,BK-04,09/07/2026,,18500,0
6f439a9e,29120579,,MB-01,10/07/2026,,2,25000
c9672138,c5459a34,,BK-06,12/07/2026,,2,10000
917ab690,7ee68ffe,,BK-01,13/07/2026,,2,10000
84fbd439,d49ccb27,,BK-02,14/07/2026,,4,15000
7604c75c,c9fde45d,,BK-04,14/07/2026,,1,19000
e2fdb788,9fc2661e,,BMK-08,15/07/2026,,6,"2666,67"
5ff251ce,,2b2f6f9a,BK-01,16/07/2026,Biji Kopi,2000,205
1e9ce694,d5d63ecf,,MB-02,19/07/2026,,24,5625
760af989,08ae4edc,,BMK-02,20/07/2026,,1,170000
a3351ba9,8541d2f9,,BK-04,22/07/2026,,1,20000
71913c18,ce335ba0,,BMK-10,23/07/2026,,30,"1666,67"
