ID Menu,Daftar Menu,Harga,hpp,Margin Profit
MN-01,Air Mineral,Rp5.000,Rp2.000,Rp3.000
MN-02,Badak,Rp10.000,Rp5.625,Rp4.375
MN-03,Badak Susu,Rp15.000,Rp6.546,Rp8.454
MN-04-01,Americano Dingin,Rp12.000,Rp4.014,Rp7.986
MN-04-02,Americano Panas,Rp12.000,Rp4.014,Rp7.986
MN-05-01,Sanger Dingin,Rp15.000,Rp4.782,Rp10.219
MN-05-02,Sanger Panas,Rp15.000,Rp4.782,Rp10.219
MN-06-01,Kopi Susu Gula Aren Dingin,Rp20.000,Rp6.639,Rp13.361
MN-06-02,Kopi Susu Gula Aren Panas,Rp20.000,Rp6.639,Rp13.361
MN-07-01,Kopi Late Panas,Rp18.000,Rp6.114,Rp11.886
MN-07-02,Kopi Late Dingin,Rp18.000,Rp6.114,Rp11.886
MN-08-01,Teh Manis/Tawar Dingin,Rp8.000,Rp885,Rp7.115
MN-08-02,Teh Manis/Tawar Panas,Rp8.000,Rp885,Rp7.115
CML-01,Segala Tempe,Rp15.000,Rp12.000,Rp3.000
MKN-01,Ayam Penyet,Rp25.000,Rp10.315,Rp14.685
MKN-02,Ayam Geprek,Rp25.000,Rp10.315,Rp14.685
CML-02,Sosis Goreng,Rp12.000,Rp6.235,Rp5.765
CML-03,Nugget Goreng,Rp12.000,Rp3.435,Rp8.565
CML-04,Kentang Goreng,Rp12.000,Rp3.235,Rp8.765
MKN-03,Nasi Goreng,Rp17.000,Rp3.715,Rp13.285
MKN-04,Nasi Goreng Spesial,Rp28.000,Rp12.215,Rp15.785
MKN-05,Nasi Goreng Kampung,Rp17.000,Rp3.715,Rp13.285
MKN-06,Nasi Goreng Kampung Spesial,Rp28.000,Rp12.215,Rp15.785
MKN-07,Indomie kuah,Rp12.000,Rp5.635,Rp6.365
MKN-08,Indomie kuah jumbo,Rp15.000,Rp9.135,Rp5.865
MKN-09,Indomie Goreng,Rp15.000,Rp5.635,Rp9.365
MKN-10,Indomie goreng jumbo,Rp15.000,Rp9.135,Rp5.865
51580ead,Mix pletter,16000,16000,16000
b1a98a20,Teh susu,15000,15000,15000
c2d8f5ad,Susu putih,12000,12000,12000
e0f0da1d,Susu dingin,12000,12000,12000
