Nama Menu,SUM of Harga Satuan
Air Mineral,Rp2.000
Americano Dingin,Rp4.014
Americano Panas,Rp4.014
Ayam Geprek,Rp10.315
Ayam Penyet,Rp10.315
Badak,Rp5.625
Badak Susu,Rp6.546
Indomie Goreng,Rp5.635
Indomie Goreng Jumbo,Rp9.135
Indomie kuah,Rp5.635
Indomie kuah jumbo,Rp9.135
Kentang Goreng,Rp3.235
Kopi Late Dingin,Rp6.114
Kopi Late Panas,Rp6.114
Kopi Susu Gula Aren Dingin,Rp6.639
Kopi Susu Gula Aren Panas,Rp6.639
Nasi Goreng,Rp3.715
Nasi Goreng Kampung,Rp3.715
Nasi Goreng Kampung Spesial,Rp12.215
Nasi Goreng Spesial,Rp12.215
Nugget Goreng,Rp3.435
Sanger Dingin,Rp4.782
Sanger Panas,Rp4.782
Sosis Goreng,Rp6.235
Teh Manis/Tawar Dingin,Rp885
Teh Manis/Tawar Panas,Rp885
