ID-Resep,ID Bahan Baku,ID Menu,Nama Menu,Nama Bahan,Jumlah,Satuan,Harga Satuan
R-01,MB-01,MN-01,Air Mineral,Le Mineral,1,Btl,Rp2.000
R-02,MB-02,MN-02,Badak,Badak,1,Btl,Rp5.625
R-03,MB-02,MN-03,Badak Susu,Badak,1,Btl,Rp5.625
R-04,BK-02,MN-03,Badak Susu,SKM,30,Gram,Rp921
R-05,BK-01,MN-04-01,Americano Dingin,Biji Kopi,18,Gram,Rp4.014
R-06,BK-01,MN-04-02,Americano Panas,Biji Kopi,18,Gram,Rp4.014
R-07,BK-01,MN-05-01,Sanger Dingin,Biji Kopi,18,Gram,Rp4.014
R-08,BK-02,MN-05-01,Sanger Dingin,SKM,25,Gram/Ml,Rp768
R-09,BK-01,MN-05-02,Sanger Panas,Biji Kopi,18,Gram,Rp4.014
R-10,BK-02,MN-05-02,Sanger Panas,SKM,25,Gram/Ml,Rp768
R-11,BK-01,MN-06-01,Kopi Susu Gula Aren Dingin,Biji Kopi,18,Gram,Rp4.014
R-12,BK-05,MN-06-01,Kopi Susu Gula Aren Dingin,Susu UHT,100,Ml,Rp2.100
R-13,BK-03,MN-06-01,Kopi Susu Gula Aren Dingin,Gula Aren,35,Gram/Ml,Rp525
R-14,BK-01,MN-06-02,Kopi Susu Gula Aren Panas,Biji Kopi,18,Gram,Rp4.014
R-15,BK-03,MN-06-02,Kopi Susu Gula Aren Panas,Gula Aren,35,Gram/Ml,Rp525
R-16,BK-05,MN-06-02,Kopi Susu Gula Aren Panas,Susu UHT,100,Ml,Rp2.100
R-17,BK-01,MN-07-01,Kopi Late Panas,Biji Kopi,18,Gram,Rp4.014
R-18,BK-05,MN-07-01,Kopi Late Panas,Susu UHT,100,Ml,Rp2.100
R-19,BK-01,MN-07-02,Kopi Late Dingin,Biji Kopi,18,Gram,Rp4.014
R-20,BK-05,MN-07-02,Kopi Late Dingin,Susu UHT,100,Ml,Rp2.100
R-21,BK-06,MN-08-01,Teh Manis/Tawar Dingin,Teh,1,Pcs,Rp660
R-22,BK-04,MN-08-01,Teh Manis/Tawar Dingin,Gula Putih,25,Gram,Rp225
R-23,BK-06,MN-08-02,Teh Manis/Tawar Panas,Teh,1,Pcs,Rp660
R-24,BK-04,MN-08-02,Teh Manis/Tawar Panas,Gula Putih,25,Gram,Rp225
R-25,BMK-01,MKN-01,Ayam Penyet,Ayam,1,Pcs,Rp8.500
R-26,BMK-02,MKN-01,Ayam Penyet,Nasi,100,Gram,Rp1.580
R-27,BMK-09,MKN-01,Ayam Penyet,Minyak Goreng,10,Ml,Rp235
R-28,BMK-01,MKN-02,Ayam Geprek,Ayam,1,Pcs,Rp8.500
R-29,BMK-02,MKN-03,Ayam Geprek,Nasi,100,Gram,Rp1.580
R-30,BMK-09,MKN-01,Ayam Geprek,Minyak Goreng,10,Ml,Rp235
R-31,BMK-05,CML-02,Sosis Goreng,Sosis,4,Pcs,Rp6.000
R-32,BMK-09,CML-02,Sosis Goreng,Minyak Goreng,10,Ml,Rp235
R-33,BMK-04,CML-03,Nugget Goreng,Nugget,100,Pcs,Rp3.200
R-34,BMK-09,CML-03,Nugget Goreng,Minyak Goreng,10,Pcs,Rp235
R-35,BMK-06,CML-04,Kentang Goreng,Kentang,100,Gram,Rp3.000
R-36,BMK-09,CML-04,Kentang Goreng,Minyak Goreng,10,Ml,Rp235
R-37,BMK-02,MKN-03,Nasi Goreng,Nasi,100,Gram,Rp1.580
R-38,BMK-09,MKN-03,Nasi Goreng,Minyak Goreng,10,Ml,Rp235
R-39,BMK-10,MKN-03,Nasi Goreng,Telur,1,Pcs,Rp1.900
R-40,BMK-02,MKN-04,Nasi Goreng Spesial,Nasi,100,Gram,Rp1.580
R-41,BMK-09,MKN-04,Nasi Goreng Spesial,Minyak Goreng,10,Ml,Rp235
R-42,BMK-10,MKN-04,Nasi Goreng Spesial,Telur,1,Pcs,Rp1.900
R-43,BMK-01,MKN-04,Nasi Goreng Spesial,ayam,1,Pcs,Rp8.500
R-44,BMK-02,MKN-05,Nasi Goreng Kampung,Nasi,100,Gram,Rp1.580
R-45,BMK-09,MKN-05,Nasi Goreng Kampung,Minyak Goreng,10,Gram/Ml,Rp235
R-46,BMK-10,MKN-05,Nasi Goreng Kampung,Telur,1,Pcs,Rp1.900
R-47,BMK-02,MKN-06,Nasi Goreng Kampung Spesial,Nasi,100,Gram,Rp1.580
R-48,BMK-09,MKN-06,Nasi Goreng Kampung Spesial,Minyak Goreng,10,Gram/Ml,Rp235
R-49,BMK-10,MKN-06,Nasi Goreng Kampung Spesial,Telur,1,Pcs,Rp1.900
R-50,BMK-01,MKN-06,Nasi Goreng Kampung Spesial,ayam,1,Pcs,Rp8.500
R-51,BMK-07,MKN-07,Indomie kuah,Indomie Kuah,1,Pcs,Rp3.500
R-52,BMK-09,MKN-07,Indomie kuah,Minyak Goreng,10,Gram/Ml,Rp235
R-53,BMK-10,MKN-07,Indomie kuah,Telur,1,Pcs,Rp1.900
R-54,BMK-07,MKN-08,Indomie kuah jumbo,Indomie Kuah,2,Pcs,Rp7.000
R-55,BMK-09,MKN-08,Indomie kuah jumbo,Minyak Goreng,10,Gram/Ml,Rp235
R-56,BMK-10,MKN-08,Indomie kuah jumbo,Telur,1,Pcs,Rp1.900
R-57,BMK-08,MKN-09,Indomie Goreng,Indomie Goreng,1,Pcs,Rp3.500
R-58,BMK-09,MKN-09,Indomie Goreng,Minyak Goreng,10,Gram/Ml,Rp235
R-59,BMK-10,MKN-09,Indomie Goreng,Telur,1,Pcs,Rp1.900
R-60,BMK-08,MKN-10,Indomie Goreng Jumbo,Indomie Goreng,2,Pcs,Rp7.000
R-61,BMK-09,MKN-10,Indomie Goreng Jumbo,Minyak Goreng,10,Gram/Ml,Rp235
R-62,BMK-10,MKN-10,Indomie Goreng Jumbo,Telur,1,Pcs,Rp1.900
,,Tidak Ditemukan,,,,,Tidak Ditemukan
,,Tidak Ditemukan,,,,,Tidak Ditemukan
,,Tidak Ditemukan,,,,,Tidak Ditemukan
,,Tidak Ditemukan,,,,,Tidak Ditemukan
,,Tidak Ditemukan,,,,,Tidak Ditemukan
,,Tidak Ditemukan,,,,,Tidak Ditemukan
,,Tidak Ditemukan,,,,,Tidak Ditemukan
,,Tidak Ditemukan,,,,,Tidak Ditemukan
,,Tidak Ditemukan,,,,,Tidak Ditemukan
,,Tidak Ditemukan,,,,,Tidak Ditemukan
,,Tidak Ditemukan,,,,,Tidak Ditemukan
,,Tidak Ditemukan,,,,,Tidak Ditemukan
,,Tidak Ditemukan,,,,,Tidak Ditemukan
,,Tidak Ditemukan,,,,,Tidak Ditemukan
,,Tidak Ditemukan,,,,,Tidak Ditemukan
,,Tidak Ditemukan,,,,,Tidak Ditemukan
,,Tidak Ditemukan,,,,,Tidak Ditemukan
,,Tidak Ditemukan,,,,,Tidak Ditemukan
