ID Bahan Baku,Nama Produk,Satuan,harga satuan
MB-01,Le Mineral,Btl,Rp2.000
MB-02,Badak,Btl,Rp5.625
BK-01,Biji Kopi,Gram/Ml,Rp223
BK-02,SKM,Gram/Ml,Rp31
BK-03,Gula Aren,Gram/Ml,Rp15
BK-04,Gula Putih,Gram/Ml,Rp9
BK-05,Susu UHT,Gram/Ml,Rp21
BK-06,Teh,Pcs,Rp660
BM-01,Segala Tempe,Pcs,Rp12.000
BMK-01,Ayam,PCS,Rp8.500
BMK-02,Nasi,Gram,Rp16
BMK-03,Bumbu Nasi Goreng,Gram/Ml,Rp500
BMK-04,Nugget,Gram,Rp32
BMK-05,Sosis,Pcs,Rp1.500
BMK-06,Kentang,Gram,Rp30
BMK-07,Indomie Kuah,Pcs,Rp3.500
BMK-08,Indomie Goreng,Pcs,Rp3.500
BMK-09,Minyak Goreng,Gram/Ml,Rp24
BMK-10,Telur,Pcs,Rp1.900
