ID_Detail,ID_Struk,ID Menu,Tanggal,Jam,Nama_Menu,Metode,Status,Qty,Harga_Satuan,Subtotal
A4FHOMFE,,,02/04/2026,,Air Mineral,cash,Selesai,1,,Rp5.000
HQ2SSGOC,,,02/04/2026,,badak,cash,Selesai,1,,Rp10.000
KNR8NSOC,,,02/04/2026,,badak,qris,Selesai,1,,Rp10.000
GS47K717,,,02/04/2026,,badak,cash,Selesai,1,,Rp10.000
ZAIWI4X2,,,02/04/2026,,badak,qris,Selesai,1,,Rp10.000
IMZUX8EN,,,02/04/2026,,teh botol,qris,Selesai,1,,Rp7.000
DJM8SUSH,,,02/04/2026,,badak,qris,Selesai,2,,Rp20.000
3CPSZB1L,,,02/04/2026,,badak,cash,Selesai,1,,Rp10.000
7N1C6VI3,,,02/04/2026,,badak,,Selesai,2,,
D7HMMQ5Y,,,03/04/2026,,Air Mineral,cash,Selesai,1,,Rp5.000
GRB7ZESE,,,03/04/2026,,Air Mineral,cash,Selesai,1,,Rp5.000
ZMSMHPVN,,,03/04/2026,,badak,cash,Selesai,1,,Rp10.000
JFJVDMXV,,,03/04/2026,,badak,,Selesai,1,,
6JZ05KWQ,,,03/04/2026,,badak,cash,Selesai,1,,Rp10.000
0SX6UY4U,,,03/04/2026,,badak,qris,Selesai,3,,Rp30.000
LUKST21N,,,03/04/2026,,Air Mineral,qris,Selesai,2,,Rp10.000
2BI55GGS,,,03/04/2026,,badak,cash,Selesai,1,,Rp10.000
COCR7VUN,,,03/04/2026,,badak,cash,Selesai,1,,Rp10.000
FVNJHY7B,,,03/04/2026,,Air Mineral,cash,Selesai,1,,Rp5.000
TXTY3V0P,,,03/04/2026,,badak,,,1,,
56DDWAQL,,,04/04/2026,,Air Mineral,cash,Selesai,1,,Rp5.000
HGCNYKIE,,,04/04/2026,,Air Mineral,cash,Selesai,2,,Rp10.000
MJL3X64Y,,,04/04/2026,,badak,cash,Selesai,1,,Rp10.000
ALXZN9P8,,,04/04/2026,,Air Mineral,cash,Selesai,1,,Rp5.000
NPGMUJ8N,,,04/04/2026,,badak,cash,Selesai,1,,Rp10.000
N0HREVR5,,,04/04/2026,,badak,cash,Selesai,1,,Rp10.000
NB0Y9ZF4,,,04/04/2026,,Air Mineral,cash,Selesai,1,,Rp5.000
3XS65H8U,,,05/04/2026,,Air Mineral,cash,Selesai,1,,Rp5.000
DJYX9LIA,,,05/04/2026,,badak,cash,Selesai,1,,Rp10.000
83B8UTMD,,,05/04/2026,,Air Mineral,cash,Selesai,1,,Rp5.000
FZ1DO0KY,,,05/04/2026,,badak,cash,Selesai,1,,Rp10.000
ILIWA5SV,,,05/04/2026,,badak,cash,Selesai,1,,Rp10.000
DLW9X0M7,,,06/04/2026,,Air Mineral,cash,Selesai,1,,Rp5.000
1WQ9CFRB,,,06/04/2026,,badak,cash,Selesai,1,,Rp10.000
2KUUNIRT,,,07/04/2026,,badak,cash,Selesai,1,,Rp10.000
05EKYFSD,,,07/04/2026,,Air Mineral,cash,Selesai,1,,Rp5.000
Y8SE147J,,,07/04/2026,,badak,cash,Selesai,2,,Rp20.000
E0N86ZM1,,,07/04/2026,,Air Mineral,cash,Selesai,1,,Rp5.000
BUJERZNN,,,08/04/2026,,Air Mineral,cash,Selesai,1,,Rp5.000
CFL9V8L3,,,08/04/2026,,Air Mineral,cash,Selesai,3,,Rp15.000
UG5Z9U7X,,,08/04/2026,,Badak Susu,cash,Selesai,2,,Rp30.000
HPA1G5KJ,,,09/04/2026,,Sanger,cash,Selesai,1,,Rp13.500
GECEA5QA,,,09/04/2026,,Air Mineral,cash,Selesai,1,,Rp5.000
NP6C6XWD,,,10/04/2026,,Sanger,cash,Selesai,1,,Rp13.500
A2VRZ797,,,10/04/2026,,Teh,cash,Selesai,2,,Rp16.000
1PSY5OF4,,,10/04/2026,,badak,,,1,,
09Z8B9RD,,,10/04/2026,,Americano,cash,Selesai,1,,Rp13.000
0YJ43EQ1,,,10/04/2026,,Sanger,qris,Selesai,1,,Rp13.500
MYKA2K7Z,,,10/04/2026,,Air Mineral,qris,Selesai,1,,Rp5.000
4ICJT5ZO,,,10/04/2026,,Air Mineral,cash,Selesai,1,,Rp5.000
XWZ4VFBG,,,11/04/2026,,badak,cash,Selesai,1,,Rp10.000
FW0YB0F0,,,11/04/2026,,Americano,qris,Selesai,1,,Rp13.000
D2NE87LR,,,11/04/2026,,Sanger,cash,Selesai,1,,Rp13.500
QJFUZKVB,,,11/04/2026,,Sanger,cash,Selesai,1,,Rp13.500
E84PP3BP,,,11/04/2026,,Sanger,cash,Selesai,1,,Rp13.500
TPEO6KFR,,,11/04/2026,,Air Mineral,qris,Selesai,1,,Rp5.000
5TH6A10Y,,,11/04/2026,,Americano,qris,Selesai,1,,Rp13.000
VWHZDJFJ,,,11/04/2026,,Sanger,qris,Selesai,1,,Rp13.500
NB1DNV35,,,12/04/2026,,badak,cash,Selesai,1,,Rp10.000
OJUXYFVN,,,12/04/2026,,Air Mineral,cash,Selesai,1,,Rp5.000
936WSVYC,,,12/04/2026,,Badak Susu,cash,Selesai,1,,Rp15.000
06ZHXPLA,,,12/04/2026,,Badak Susu,qris,Selesai,1,,Rp15.000
A4FO6SBE,,,12/04/2026,,Air Mineral,cash,Selesai,1,,Rp5.000
H92SOXZ6,,,12/04/2026,,badak,qris,Selesai,2,,Rp20.000
2W7XG2Q8,,,12/04/2026,,Badak,cash,Selesai,1,,Rp10.000
dab51dc5,JB-04,,18/04/2026,08.35.00,,CASH,Selesai,,,0
2b4975db,JB-04,,18/04/2026,08.35.00,Americano Panas,CASH,Selesai,1,12000,12000
72f3da5f,JB-04,,18/04/2026,08.35.00,Segala Tempe Original,CASH,Selesai,1,15000,15000
0fff595e,JB-05,,18/04/2026,08.50.00,Sanger Panas,QRIS,Selesai,1,15000,15000
ec9486bb,JB-05,,18/04/2026,08.50.00,Americano Panas,QRIS,Selesai,1,12000,12000
0bf6af87,JB-07,,18/04/2026,09.35.00,Americano Dingin,QRIS,Selesai,1,12000,12000
36a85d2f,JB-0,,18/04/2026,10.09.00,Sanger Panas,CASH,Selesai,1,15000,15000
287fcbd1,JB-1,,18/04/2026,10.15.00,Sanger Panas,QRIS,Selesai,1,15000,15000
c9f418bd,JB-3,,18/04/2026,10.26.00,Badak Susu,QRIS,Selesai,1,15000,15000
6c29775f,JB-3,,18/04/2026,10.26.00,Teh Manis/Tawar Dingin,QRIS,Selesai,1,8000,8000
3cc7d9dc,JB-7,,18/04/2026,00.00.00,,CASH,Selesai,,,0
5f56e9d0,JB-7,,18/04/2026,00.00.00,Teh Manis/Tawar Dingin,CASH,Selesai,1,8000,8000
ddc43af8,JB-8,,18/04/2026,00.00.00,Teh Manis/Tawar Panas,CASH,Selesai,1,8000,8000
d892138d,JB-7,,18/04/2026,00.00.00,Segala Tempe Original,CASH,Selesai,1,15000,15000
2693bdee,JB-1,,18/04/2026,10.15.00,Sanger Dingin,QRIS,Selesai,1,15000,15000
d34ecc33,JB-1,,18/04/2026,10.15.00,Americano Dingin,QRIS,Selesai,1,12000,12000
cebc672a,JB-9,,18/04/2026,11.47.00,Americano Dingin,CASH,Selesai,1,12000,12000
4762640a,25cf217b,,18/04/2026,12.06.00,Sanger Panas,CASH,Selesai,1,15000,15000
9eb2098b,34739115,,18/04/2026,12.25.00,Sanger Dingin,CASH,Selesai,1,15000,15000
faa2e81d,932e14d0,,18/04/2026,12.45.00,Americano Dingin,CASH,Selesai,1,12000,12000
