ID_Cashflow,ID_Sumber,TANGGAL,KETERANGAN/TRANSAKSI,Jenis,Kategori,Pemasukan,pengeluaran,POS,Saldo Kas,Apakah Stok?,ID Bahan Baku,Qty,SALDO CASH,SALDO REKENING N,SALDO REKENING Y
9NEGNT3D,,01-04-2026,PINJAMAN MODAL AHMAD YAZID PASARIBU,Pemasukan,Pemasukan,Rp1.200.000,,SALDO CASH,Rp1.200.000,,,,"Rp3.956.500,00","Rp124.437,00","Rp8.087.000,00"
8CPLJTS5,,01-04-2026,OMZET CARWASH CASH,Pemasukan carwash,Pemasukan,Rp625.000,,SALDO CASH,Rp1.825.000,,,,,,
58D8B1VF,,01-04-2026,OMZET CARWASH QRIS,Pemasukan carwash,Pemasukan,Rp105.000,,SALDO REKENING Y,Rp1.930.000,,,,TOTAL SALDO,,
8CD7TUVJ,,01-04-2026,BUKU EKSPEDISI,pengeluaran carwash,Barang,,Rp34.000,SALDO CASH,Rp1.896.000,,,,"Rp12.167.937,00",,
8BPBGVHX,,01-04-2026,BADAK 1KRAT,pengeluaran cafe,Bahan Baku,,Rp135.000,SALDO CASH,Rp1.761.000,,,,,,
ELQHD8P8,,01-04-2026,LE MINERAL 1DUS,pengeluaran cafe,Bahan Baku,,Rp47.000,SALDO CASH,Rp1.714.000,,,,,,
M72ASJIH,,01-04-2026,STP,pengeluaran carwash,Bahan Baku,,Rp240.000,SALDO CASH,Rp1.474.000,,,,,,
72UXGMUR,,01-04-2026,SEGALA TEMPE,pemasukan tenant,Pemasukan,Rp500.000,,SALDO REKENING N,Rp1.974.000,,,,,,
PKLKZU9Y,,02-04-2026,PRINT,pengeluaran cafe,Operasional,,Rp5.000,SALDO CASH,Rp1.969.000,,,,,,
UMKZZ33F,,02-04-2026,ES KRISTAL,pengeluaran cafe,Bahan Baku,,Rp5.000,SALDO CASH,Rp1.964.000,,,,,#REF!,
8991IEN2,,02-04-2026,GULA 1 KG,pengeluaran cafe,Bahan Baku,,Rp18.500,SALDO CASH,Rp1.945.500,,,,,,
MR9M2NQA,,02-04-2026,TEH 1 KOTAK,pengeluaran cafe,Bahan Baku,,Rp5.500,SALDO CASH,Rp1.940.000,,,,,,
Y64BTK2M,,02-04-2026,GULA AREN 1 KG,pengeluaran cafe,Bahan Baku,,Rp30.000,SALDO CASH,Rp1.910.000,,,,,,
