ID_Pengeluaran,no,Tanggal,Jam,Nama Pengeluaran,Jenis,Kategori,Jumlah,Apakah Stok?,ID Bahan Baku,Qty
c70c7bda,1,17/04/2026,17.39.23,Es batu,Pengeluaran Cafe,,5000,,,
bd0605d8,2,18/04/2026,08.09.14,Bayar sampah,Pengeluaran,,50000,,,
b928f007,3,18/04/2026,16.11.29,Es kristal,Pengeluaran Cafe,,10000,,,
2846900a,4,18/04/2026,16.12.30,Susu,Pengeluaran Cafe,,43500,,,
e1fee2bf,5,18/04/2026,16.13.32,Pelunasan faktur bon,Pengeluaran,,150000,,,
39893302,6,18/04/2026,17.41.39,Ongkir biji kopi,Pengeluaran Cafe,,17000,,,
780d3e9c,7,19/04/2026,13.53.12,Es kristal,Pengeluaran Cafe,,5000,,,
4736a285,8,19/04/2026,13.53.40,Badak,Pengeluaran Cafe,,135000,,,
22de585c,9,19/04/2026,13.54.00,Minyak wak udin,Pengeluaran,,15000,,,
7867979b,10,20/04/2026,13.07.50,Es kristal,Pengeluaran Cafe,,5000,,,
1d9d6d30,11,20/04/2026,13.08.10,Le mineral,Pengeluaran Cafe,,46000,,,
ba3e56fe,12,21/04/2026,08.51.24,Es kristal,Pengeluaran Cafe,,5000,,,
3243ff70,13,21/04/2026,08.51.32,Galon air,Pengeluaran Cafe,,30000,,,
4995f8b6,14,22/04/2026,09.12.55,Es kristal,Pengeluaran Cafe,,5000,,,
d024e9d4,15,22/04/2026,10.25.40,Vicky,Casbon,,30000,,,
ebf988d8,16,22/04/2026,14.32.08,Ongkir biji kopi & fresh milk,Pengeluaran Cafe,,18000,,,
66c00290,17,22/04/2026,15.08.57,Belanja bahan dapur,Pengeluaran Cafe,,46000,,,
206d5efc,18,22/04/2026,15.17.14,Andaliman,Pengeluaran Cafe,,5000,,,
8f4b6ab7,19,22/04/2026,15.41.30,Cetekkan,Pengeluaran,,95000,,,
185c022a,20,22/04/2026,15.42.24,Minyak wak udin,Pengeluaran,,10000,,,
faf6e2e7,21,23/04/2026,08.37.46,Es kristal,Pengeluaran Cafe,,5000,,,
839fbbed,22,23/04/2026,19.10.56,Rahman,Casbon,,20000,,,
879b68b8,23,24/04/2026,10.17.28,Es kristal,Pengeluaran Cafe,,5000,,,
20c6978a,24,24/04/2026,10.17.45,Oli & baut,Pengeluaran Carwash,,56000,,,
551540eb,25,24/04/2026,10.59.01,Rahman,Casbon,,30000,,,
cbe739b7,26,24/04/2026,13.24.36,Bagus,Casbon,,30000,,,
82360696,27,24/04/2026,16.10.14,Kawat las,Pengeluaran,,65000,,,
5d3d969f,28,24/04/2026,16.10.26,Paku,Pengeluaran,,10000,,,
e1e6be06,29,25/04/2026,17.13.33,Es kristal,Pengeluaran Cafe,,10000,,,
490eecb0,30,25/04/2026,10.11.30,Pipa dĺl,Pengeluaran Carwash,,55000,,,
08f62695,31,25/04/2026,17.13.39,Lebih qr,Pengeluaran,,55000,,,
636d0399,32,25/04/2026,18.01.54,Eza,Casbon,,30000,,,
5f73215f,33,25/04/2026,19.34.52,Fery,Casbon,,100000,,,
7aa77f0e,34,26/04/2026,12.20.56,Es kristal,Pengeluaran Cafe,,10000,,,
09d3b47a,35,26/04/2026,09.23.07,Skm,Pengeluaran Cafe,,30000,,,
1644ea3b,36,26/04/2026,10.43.32,Teh celup,Pengeluaran Cafe,,16000,,,
3a63eae5,37,26/04/2026,12.21.01,Stp & sabun,Pengeluaran Carwash,,165000,,,
633210da,38,26/04/2026,12.32.58,Rahman,Casbon,,20000,,,
db28b6ec,39,26/04/2026,13.50.54,Baterai,Pengeluaran,,30000,,,
57f5bef6,40,26/04/2026,14.56.40,Badak,Pengeluaran Cafe,,135000,,,
5dcf8028,41,26/04/2026,14.56.58,Minyak wak udin,Pengeluaran,,15000,,,
daf46088,42,26/04/2026,18.01.34,Vicky,Casbon,,30000,,,
0a169a34,43,27/04/2026,17.03.26,Es kristal,Pengeluaran Cafe,,10000,,,
f0281de7,44,27/04/2026,12.42.58,Foto copy,Pengeluaran Carwash,,5000,,,
362cab15,45,27/04/2026,12.43.24,Ambil cash,Pengeluaran,,30000,,,
b6b1bd4f,46,27/04/2026,16.10.20,Bayar Segala tempe,Pengeluaran,,84000,,,
6e59c599,47,27/04/2026,17.03.32,Pipa,Pengeluaran,,40000,,,
c0564ff3,48,27/04/2026,17.53.50,Noval,Casbon,,30000,,,
a5898991,49,27/04/2026,18.15.30,Ongkos kopi,Pengeluaran Cafe,,20000,,,
a552a781,50,27/04/2026,18.18.23,Rahman,Casbon,,30000,,,
c0d44ae8,51,27/04/2026,19.03.01,Tisu 1 dus,Pengeluaran Carwash,,260000,,,
cf31de7a,52,28/04/2026,08.06.44,Ambil cash,Pengeluaran,,10000,,,
fbb76350,53,28/04/2026,13.29.49,Es kristal,Pengeluaran Cafe,,10000,,,
2b94edcd,54,28/04/2026,09.32.27,Galon,Pengeluaran Cafe,,30000,,,
46615282,55,28/04/2026,09.32.41,Le mineral,Pengeluaran Cafe,,46000,,,
a3188ee8,56,28/04/2026,10.35.48,Rahman,Casbon,,30000,,,
4a75e5cc,57,28/04/2026,10.58.14,EZA,Casbon,,20000,,,
46f808df,58,28/04/2026,17.50.43,Mama lemon,Pengeluaran Cafe,,10000,,,
0f12de70,59,29/04/2026,09.34.08,Es kristal,Pengeluaran Cafe,,5000,,,
abe6a0e2,60,29/04/2026,09.34.23,Rahman,Casbon,,30000,,,
dced63a3,61,29/04/2026,09.40.04,Skm,Pengeluaran Cafe,,45000,,,
c8b929bb,62,29/04/2026,10.59.21,EZA,Casbon,,20000,,,
7f30bc2e,63,29/04/2026,18.04.25,Noval,Casbon,,30000,,,
11bbf604,64,29/04/2026,18.04.53,Fery,Casbon,,30000,,,
36d3262b,65,30/04/2026,08.41.55,Es kristal,Pengeluaran Cafe,,5000,,,
bc28cd5e,66,30/04/2026,10.25.54,RAHMAN,Casbon,,30000,,,
85c4673e,67,30/04/2026,12.14.11,Perbaiki vakum,Pengeluaran Carwash,,60000,,,
51f9c366,68,30/04/2026,12.28.52,FAISAL,Casbon,,30000,,,
669abb72,70,30/04/2026,14.37.03,EZA,Casbon,,5000,,,
7fdd0a10,71,30/04/2026,18.31.01,Angga,Casbon,,100000,,,
9ffddbb8,72,30/04/2026,19.41.53,EZA,Casbon,,10000,,,
692446c1,73,01/05/2026,08.51.28,Es kristal,Pengeluaran Cafe,,5000,,,
3aba59c1,74,01/05/2026,11.15.58,RAHMAN,Casbon,,20000,,,
424ad02f,75,01/05/2026,14.38.30,Bagus,Casbon,,30000,,,
7bffc95e,76,02/05/2026,09.36.03,Es kristal,Pengeluaran Cafe,,5000,,,
97c0cd39,77,02/05/2026,12.03.17,Teh bendera,Pengeluaran Cafe,,6000,,,
bd1ea5eb,78,03/05/2026,08.20.43,Es kristal,Pengeluaran Cafe,,5000,,,
bb90af16,79,04/05/2026,10.50.42,Es kristal,Pengeluaran Cafe,,5000,,,
abea288f,80,04/05/2026,10.54.22,Sabun,Pengeluaran Cafe,,85000,,,
4f602c95,81,04/05/2026,15.14.45,Ngeprint & lakban,Pengeluaran,,61000,,,
00f82b70,82,04/05/2026,11.57.31,Nasi bg yazid,Pengeluaran,,17000,,,
b1f426e9,83,04/05/2026,15.17.45,Sapu & sikat,Pengeluaran,,15000,,,
e78db3b5,84,05/05/2026,10.05.28,Es batu,Pengeluaran Cafe,,5000,,,
39bd1932,85,05/05/2026,17.39.45,Eza,Casbon,,50000,,,
6970bd0a,86,05/05/2026,18.21.43,Print,Pengeluaran,,1000,,,
82118a2c,87,05/05/2026,20.04.20,Fery,Casbon,,100000,,,
